"Date","10-2Price","10-2Open","10-2High","10-2Low","10-2Change %"
"27-08-2024","-7.19","-12.00","-6.85","-12.76","-40.08%"
"26-08-2024","-12.00","-11.56","-9.74","-13.21","3.81%"
"23-08-2024","-11.56","-15.81","-9.84","-18.59","-26.88%"
"22-08-2024","-15.81","-13.54","-12.50","-16.30","16.77%"
"21-08-2024","-13.54","-18.55","-13.14","-19.25","-27.01%"
"20-08-2024","-18.55","-19.93","-17.39","-20.31","-6.92%"
"19-08-2024","-19.93","-17.32","-16.97","-20.89","15.07%"
"16-08-2024","-17.32","-18.65","-15.77","-20.44","-7.13%"
"15-08-2024","-18.65","-12.29","-10.87","-19.05","51.75%"
"14-08-2024","-12.29","-9.09","-8.81","-25.66","35.20%"
"13-08-2024","-9.09","-11.60","-8.62","-12.25","-21.64%"
"12-08-2024","-11.60","-11.93","-10.11","-15.65","-2.77%"
"09-08-2024","-11.93","-4.82","-4.23","-12.33","147.51%"
"08-08-2024","-4.82","-3.20","-0.69","-7.85","50.63%"
"07-08-2024","-3.20","-9.20","-1.57","-11.53","-65.22%"
"06-08-2024","-9.20","-12.46","-8.13","-15.54","-26.16%"
"05-08-2024","-12.46","-8.32","1.33","-14.27","49.76%"
"02-08-2024","-8.32","-17.66","-5.86","-19.83","-52.89%"
"01-08-2024","-17.66","-22.80","-16.78","-24.60","-22.54%"
"31-07-2024","-22.80","-22.12","-20.29","-27.11","3.07%"
"30-07-2024","-22.12","-23.13","-20.30","-23.54","-4.37%"
"29-07-2024","-23.13","-19.54","-18.44","-23.13","18.37%"
"26-07-2024","-19.54","-19.21","-17.23","-22.62","1.72%"
"25-07-2024","-19.21","-14.90","-11.31","-19.41","28.93%"
"24-07-2024","-14.90","-24.31","-13.03","-24.31","-38.71%"
"23-07-2024","-24.31","-26.88","-24.02","-28.74","-9.56%"
"22-07-2024","-26.88","-27.64","-26.29","-30.81","-2.75%"
"19-07-2024","-27.64","-27.13","-25.71","-28.77","1.88%"
"18-07-2024","-27.13","-28.04","-26.34","-29.12","-3.25%"
"17-07-2024","-28.04","-26.57","-26.15","-31.62","5.53%"
"16-07-2024","-26.57","-23.02","-22.18","-28.96","15.42%"
