"Date","CrudePrice","CrudeOpen","CrudeHigh","CrudeLow","Vol.","CrudeChange %"
"27-08-2024","8,196.11","8,323.86","8,403.86","8,180.63","","-2.07%"
"26-08-2024","8,369.02","8,156.11","8,407.73","8,153.53","","3.15%"
"23-08-2024","8,113.53","7,922.57","8,131.60","7,914.82","","2.14%"
"22-08-2024","7,943.21","7,792.24","7,984.50","7,780.63","","2.21%"
"21-08-2024","7,771.60","7,905.79","8,045.15","7,767.73","","-2.18%"
"20-08-2024","7,944.50","7,962.57","8,055.47","7,863.21","","-0.44%"
"19-08-2024","7,979.34","8,171.60","8,212.89","7,966.44","","-2.84%"
"16-08-2024","8,212.89","8,329.02","8,345.79","8,094.18","","-0.56%"
"14-08-2024","8,259.34","8,259.34","8,419.34","8,247.73","","-1.14%"
"13-08-2024","8,354.82","8,433.53","8,518.69","8,327.73","","-1.36%"
"12-08-2024","8,469.66","8,214.18","8,474.82","8,205.15","","3.22%"
"09-08-2024","8,205.15","8,172.89","8,237.41","8,121.28","","0.34%"
"08-08-2024","8,177.37","8,062.69","8,186.34","7,991.57","","1.56%"
"07-08-2024","8,051.83","7,853.15","8,116.79","7,823.86","","2.23%"
"06-08-2024","7,876.07","7,863.34","7,944.85","7,741.07","","0.78%"
"05-08-2024","7,814.94","7,867.16","7,892.63","7,673.57","","0.10%"
"02-08-2024","7,807.30","8,216.13","8,254.34","7,806.03","","-4.84%"
"01-08-2024","8,204.67","8,329.48","8,417.36","8,185.56","","-1.32%"
"31-07-2024","8,314.20","8,076.03","8,324.39","8,072.21","","3.80%"
"30-07-2024","8,009.80","8,078.58","8,116.79","7,970.32","","-1.04%"
"29-07-2024","8,093.86","8,251.79","8,302.74","8,051.83","","-1.91%"
"26-07-2024","8,251.79","8,382.98","8,388.07","8,143.53","","-1.37%"
"25-07-2024","8,366.42","8,225.05","8,379.15","8,129.52","","0.92%"
"24-07-2024","8,290.00","8,254.34","8,349.86","8,219.95","","0.90%"
"23-07-2024","8,216.13","8,368.97","8,405.90","8,157.54","","-1.62%"
"22-07-2024","8,351.13","8,439.01","8,447.93","8,277.26","","-0.79%"
"19-07-2024","8,417.36","8,633.88","8,677.18","8,405.90","","-3.43%"
"18-07-2024","8,716.66","8,707.75","8,771.43","8,604.59","","0.43%"
"17-07-2024","8,679.73","8,540.90","8,684.82","8,520.53","","1.64%"
"16-07-2024","8,539.63","8,598.22","8,609.68","8,465.76","","-0.90%"
"15-07-2024","8,617.32","8,652.98","8,668.27","8,580.39","","-0.59%"
"12-07-2024","8,668.27","8,666.99","8,775.25","8,645.34","","-0.06%"
"11-07-2024","8,673.32","8,662.56","8,704.32","8,592.33","","0.22%"
"10-07-2024","8,654.22","8,572.41","8,683.16","8,500.67","0.00K","0.76%"
"09-07-2024","8,588.77","8,622.75","8,666.80","8,549.75","0.00K","-0.76%"
"08-07-2024","8,654.22","8,709.59","8,722.18","8,635.34","0.00K","-1.28%"
"05-07-2024","8,766.23","8,800.21","8,875.73","8,762.46","0.00K","-0.87%"
"04-07-2024","8,843.01","8,752.39","8,844.27","8,725.96","0.00K","0.93%"
"03-07-2024","8,761.20","8,751.13","8,771.27","8,665.54","0.00K","0.20%"
"02-07-2024","8,743.58","8,764.97","8,858.11","8,729.73","0.00K","-0.09%"
"01-07-2024","8,751.13","8,602.61","8,757.42","8,579.96","0.00K","2.19%"
"28-06-2024","8,563.60","8,626.53","8,683.16","8,506.96","0.00K","-0.04%"
"27-06-2024","8,567.37","8,509.48","8,616.46","8,478.01","0.00K","0.12%"
"26-06-2024","8,557.30","8,540.94","8,593.80","8,440.25","0.00K","0.34%"
"25-06-2024","8,528.35","8,581.22","8,596.32","8,496.89","0.00K","-0.72%"
"24-06-2024","8,590.03","8,480.53","8,595.06","8,432.70","0.00K","1.11%"
"21-06-2024","8,495.63","8,552.27","8,607.65","8,471.72","0.00K","-0.68%"
"20-06-2024","8,553.53","8,469.20","8,581.22","8,456.61","0.00K","0.98%"
"19-06-2024","8,470.46","8,472.98","8,524.58","8,438.99","0.00K","0.42%"
"18-06-2024","8,435.22","8,368.51","8,475.49","8,321.94","0.00K","0.96%"
"17-06-2024","8,354.67","8,246.43","8,355.92","8,237.62","0.00K","1.34%"
"14-06-2024","8,243.91","8,209.93","8,294.25","8,177.20","0.00K","-0.02%"
"13-06-2024","8,245.17","8,211.18","8,269.08","8,158.32","0.00K","-0.09%"
"12-06-2024","8,252.72","8,222.51","8,308.10","8,174.68","0.00K","0.69%"
"11-06-2024","8,196.08","8,145.74","8,228.80","8,116.79","0.00K","0.59%"
"10-06-2024","8,147.62","7,952.75","8,152.02","7,911.26","0.00K","2.54%"
"07-06-2024","7,945.83","7,942.06","8,007.43","7,899.32","0.00K","-0.08%"
"06-06-2024","7,952.12","7,808.82","7,959.66","7,786.19","0.00K","2.16%"
